Category,Metric,Value,Eval_Root
human_upper_body,avg CLIP similarity,0.96826171875,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=False_L1mask=False
human_full_body,avg CLIP similarity,0.9609375,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=False_L1mask=False
interior_design,avg CLIP similarity,0.9755859375,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=False_L1mask=False
other_objects,avg CLIP similarity,0.96728515625,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=False_L1mask=False
art_work,avg LPIPS,0.879648331073778,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=False_L1mask=True
land_scape,avg LPIPS,0.8776527163995937,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=False_L1mask=True
building_city_view,avg LPIPS,0.8843299517674106,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=False_L1mask=True
building_countryside_view,avg LPIPS,0.8804244969717481,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=False_L1mask=True
animals,avg LPIPS,0.8691795017104595,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=False_L1mask=True
human_head,avg LPIPS,0.8387275174260139,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=False_L1mask=True
human_upper_body,avg LPIPS,0.8899062886834145,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=False_L1mask=True
human_full_body,avg LPIPS,0.9590791160240769,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=False_L1mask=True
interior_design,avg LPIPS,0.9002076607197523,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=False_L1mask=True
other_objects,avg LPIPS,0.8677367043282305,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=True_L1p=False_L1mask=True
