Category,Metric,Value,Eval_Root
building_city_view,avg MD,45.13927420174203,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=True
building_countryside_view,avg MD,48.29054447096221,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=True
animals,avg MD,51.78360137343407,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=True
human_head,avg MD,72.33833873973174,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=True
human_upper_body,avg MD,71.42987198299832,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=True
human_full_body,avg MD,37.848980486392975,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=True
interior_design,avg MD,42.1264599609375,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=True
other_objects,avg MD,62.91171169281006,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=True
art_work,avg LPIPS,0.9573152239301375,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=False
land_scape,avg LPIPS,0.9431948968293992,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=False
building_city_view,avg LPIPS,0.9410889769593874,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=False
building_countryside_view,avg LPIPS,0.9410557078028267,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=False
animals,avg LPIPS,0.9684046470560134,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=False
human_head,avg LPIPS,0.9859843050129712,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=False
human_upper_body,avg LPIPS,0.9845887299627065,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=False
human_full_body,avg LPIPS,0.9836715037934483,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=False
interior_design,avg LPIPS,0.961267530778423,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=False
other_objects,avg LPIPS,0.9723418774415872,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=False
art_work,avg MD,51.41000548074412,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=False
land_scape,avg MD,54.04366131486564,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=False
building_city_view,avg MD,44.4376503548971,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=False
building_countryside_view,avg MD,47.934223408601724,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=False
animals,avg MD,51.983741953969,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=False
human_head,avg MD,72.4517490162569,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=False
human_upper_body,avg MD,71.38980621761746,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=False
human_full_body,avg MD,37.65261334180832,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=False
interior_design,avg MD,42.39813977718353,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=False
other_objects,avg MD,62.81994293354176,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=False
art_work,avg LPIPS,0.9549143489450216,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=True_L1p=True_L1mask=False
land_scape,avg LPIPS,0.9424023595638573,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=True_L1p=True_L1mask=False
building_city_view,avg LPIPS,0.9413073431877863,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=True_L1p=True_L1mask=False
building_countryside_view,avg LPIPS,0.9399717507714574,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=True_L1p=True_L1mask=False
